"id";"cand_id";"funds";"state_code";"year"
583;4;4501128.3;"IA";2008
584;3;2167497.41;"IA";2012
585;5;748607.61;"IA";2008
586;7;536377.13;"IA";2004
587;6;745436.1;"IA";2004
588;8;110360.0;"IA";2000
589;6;28550.0;"IA";2000
590;10;41400.0;"IA";1996
591;9;161505.0;"IA";1996
592;10;24500.0;"IA";1992
593;11;228010.0;"IA";1992
594;11;22000.0;"IA";1988
595;12;1500.0;"IA";1988
596;13;16300.0;"IA";1984
597;14;32250.0;"IA";1984
598;14;30250.0;"IA";1980
599;15;31956.0;"IA";1980
600;2;4289401.06;"MO";2016
601;1;1555472.24;"MO";2016
602;4;10047118.18;"MO";2008
603;4;8878837.84;"MO";2012
604;3;6454575.71;"MO";2012
605;5;3004129.5;"MO";2008
606;7;1555432.45;"MO";2004
607;6;4052820.38;"MO";2004
608;8;434102.0;"MO";2000
609;6;122830.0;"MO";2000
610;10;118300.0;"MO";1996
611;9;677906.0;"MO";1996
612;10;114054.0;"MO";1992
613;11;876965.0;"MO";1992
614;11;284306.0;"MO";1988
615;12;14750.0;"MO";1988
616;13;132175.0;"MO";1984
617;14;165000.0;"MO";1984
618;14;90229.0;"MO";1980
619;15;267013.0;"MO";1980
620;2;2414963.6;"AR";2016
621;1;723054.74;"AR";2016
622;4;2437822.06;"AR";2012
623;4;2232021.54;"AR";2008
624;3;1893705.5;"AR";2012
625;5;1044407.0;"AR";2008
626;7;448595.84;"AR";2004
627;6;1468964.14;"AR";2004
628;8;449500.0;"AR";2000
629;6;28570.0;"AR";2000
630;10;926480.0;"AR";1996
631;9;97575.0;"AR";1996
632;10;1757535.0;"AR";1992
633;11;358452.0;"AR";1992
634;11;80000.0;"AR";1988
635;12;5500.0;"AR";1988
636;13;10100.0;"AR";1984
637;14;37750.0;"AR";1984
638;14;33235.0;"AR";1980
639;15;115487.0;"AR";1980
640;2;1957698.47;"LA";2016
641;1;1771341.09;"LA";2016
642;4;4586558.82;"LA";2012
643;4;2928579.28;"LA";2008
644;3;4796917.19;"LA";2012
645;5;2242779.8200000003;"LA";2008
646;7;1022997.6799999999;"LA";2004
647;6;2085588.33;"LA";2004
648;8;533890.0;"LA";2000
649;6;89868.0;"LA";2000
650;10;114610.0;"LA";1996
651;9;114525.0;"LA";1996
652;10;211088.0;"LA";1992
653;11;595805.0;"LA";1992
654;11;165724.0;"LA";1988
655;12;1000.0;"LA";1988
656;13;87000.0;"LA";1984
657;14;81906.0;"LA";1984
658;14;74740.0;"LA";1980
659;15;285644.0;"LA";1980
660;2;229437.87;"ND";2016
661;1;269245.1;"ND";2016
662;4;496426.96;"ND";2012
663;4;383001.26;"ND";2008
664;3;537142.5;"ND";2012
665;5;181476.0;"ND";2008
666;7;45820.0;"ND";2004
667;6;150614.74;"ND";2004
668;8;11600.0;"ND";2000
669;6;3650.0;"ND";2000
670;10;3050.0;"ND";1996
671;9;5850.0;"ND";1996
672;10;1700.0;"ND";1992
673;11;16045.0;"ND";1992
674;11;1800.0;"ND";1988
675;14;8250.0;"ND";1984
676;14;9550.0;"ND";1980
677;15;1850.0;"ND";1980
678;2;390915.52;"SD";2016
679;1;277901.19;"SD";2016
680;4;744536.0;"SD";2012
681;4;671816.84;"SD";2008
682;3;826707.0;"SD";2012
683;5;312554.0;"SD";2008
684;7;81098.33;"SD";2004
685;6;380987.5;"SD";2004
686;8;29000.0;"SD";2000
687;6;10250.0;"SD";2000
688;10;7200.0;"SD";1996
689;9;21085.0;"SD";1996
690;10;2850.0;"SD";1992
691;11;66825.0;"SD";1992
692;11;7100.0;"SD";1988
693;13;6500.0;"SD";1984
694;14;14750.0;"SD";1984
695;14;16360.0;"SD";1980
696;15;5575.0;"SD";1980
697;2;889216.55;"NE";2016
698;1;564669.31;"NE";2016
699;4;1979956.38;"NE";2012
700;4;1741642.14;"NE";2008
701;3;1975650.6;"NE";2012
702;5;680198.0;"NE";2008
703;7;184537.89;"NE";2004
704;6;971549.32;"NE";2004
705;8;79000.0;"NE";2000
706;6;29700.0;"NE";2000
707;10;25950.0;"NE";1996
708;9;206995.0;"NE";1996
709;10;16600.0;"NE";1992
710;11;223640.0;"NE";1992
711;11;50000.0;"NE";1988
712;12;3000.0;"NE";1988
713;13;9000.0;"NE";1984
714;14;31450.0;"NE";1984
715;14;20690.0;"NE";1980
716;15;10600.0;"NE";1980
717;2;1309910.8;"KS";2016
718;1;896306.13;"KS";2016
719;4;3614144.56;"KS";2012
720;4;3101383.76;"KS";2008
721;3;2710676.09;"KS";2012
722;5;1268995.5;"KS";2008
723;7;424461.79;"KS";2004
724;6;1062622.24;"KS";2004
725;8;89150.0;"KS";2000
726;6;43375.0;"KS";2000
727;10;70200.0;"KS";1996
728;9;966530.0;"KS";1996
729;10;37592.0;"KS";1992
730;11;397910.0;"KS";1992
731;11;86750.0;"KS";1988
732;12;1000.0;"KS";1988
733;13;23250.0;"KS";1984
734;14;65750.0;"KS";1984
735;14;53525.0;"KS";1980
736;15;44000.0;"KS";1980
737;2;2051454.64;"OK";2016
738;1;1717431.47;"OK";2016
739;4;3925834.16;"OK";2012
740;4;3452307.0;"OK";2008
741;3;4838968.42;"OK";2012
742;5;2099651.29;"OK";2008
743;7;366886.03;"OK";2004
744;6;1307852.26;"OK";2004
745;8;324280.0;"OK";2000
746;6;63775.0;"OK";2000
747;10;89700.0;"OK";1996
748;9;135880.0;"OK";1996
749;10;133607.0;"OK";1992
750;11;393796.0;"OK";1992
751;11;221462.0;"OK";1988
